Titulo,Autor,Ano
I’m Confessin’,Chris Smith / Sterling Grant,1929
I’m Crazy ‘Bout My Baby,A. Hill / T. Waller,1931
I’m Getting Sentimental Over You,George Bassman / Ned Washington,1932
I`m Gonna Sit Right Down,Fred E. Ahlert / Joe Young,1935
I’m In The Mood For Love,Jimmy McHugh / Dorothy Fields,1935
I’m Just A Lucky So And So,Duke Ellington / Mack David,1945
I’m Nobody’s Baby,B. Davis,1921
I’m Putting All My Eggs In One Basket,Irving Berlin,1936
Imagination,Jimmy Van Heusel / Johnny Burke,1939
Impressions,John Coltrane,1961
In a Mellow Tone,Duke Ellington / Milt Gabler,1939
In a Sentimental Mood,Duke Ellington / Manny Kurtz,1935
In a Shanty in Old Shanty Town,Ira Schuster / Jack Little / Joe Young,1932
In the mood,Wingy Manone / Andy Razaf / Joe Garland,1939
Indiana,James F. Hanley / Ballard MacDonald,1917
Infant Eyes,Wayne Shorter,1966
Interplay,Bill Evans,1962
Invitation,Bronisław Kaper / Paul Francis Webster,1950
Is It True What They Say About Dixie,Irving Caesar / Sammy Lerner / Gerald Marks,1936
Is You Is or Is You Ain’t My Baby,Billy Austin / Louis Jordan,1943
Isn’t She Lovely,Stevie Wonder,1975
It Could Happen to You,Jimmy Van Heusen / Johnny Burke,1943
It don`t mean a thing,Duke Ellington / Irving Mills,1931
It Had Better Be Tonight (Meglio stasera),Henry Mancini / Franco Migliacci / Johnny Mercer,1963
It had to be you,Isham Jones / Gus Kahn,1924
It’s All Your Fault,Cindy Walker,1942
It’s Impossible,Armando Manzanero / Perry Como,1968
It’s Only A Paper Moon,Harold Arlen / Yip Harburg / Billy Rose,1933
It’s The Talk Of The Town,Jerry Livingston / Marty Symes / Al J. Neiburg,1933
I`ve found a new baby,Jack Palmer / Spencer Williams,1926
I’ve Got A Feeling I’m Falling,Fats Waller / Harry Link / Billy Rose,1929
I’ve Got The World On A String,Harold Arlen / Ted Koehler,1932
I`ve got you under my skin,Cole Porter,1936
I’ve Grown Accustomed To Her Face,Frederick Loewe / Alan Jay Lerner,1956
Ja-da,Bob Carleton,1918
Java Jive,Ben Oakland / Milton Drake,1940
Jazz Me Blues,Tom Delaney,1921
Je Veux (Zaz),Kerredine Soltani / Tryss,2010
Jeepers Creepers,Harry Warren / Johnny Mercer,1938
Jeeves & Wooster,Anne Dudley,1990
Jersey Bounce,Tiny Bradshaw / Eddie Johnson / Bobby Plater / Buddy Feyne,1941
Jim,Nelson Shawn / Caesar Petrillo / Edward Ross,1941
Jingle Bell Rock,Joe Beal / Jim Boothe,1957
Jingle Bells,James Lord Pierpont,1857
Joy Spring,Clifford Brown / Jon Hendricks,1954
Jumpin’ With Symphony Sid,Lester Young / King Pleasure,1949
Just a Closer Walk with Thee,,
Just Friends,John Klenner / Sam M. Lewis,1931
Just in Time,Jule Styne / Betty Comden / Adolph Green,1956
Just the Two of Us,Bill Withers / Ralph MacDonald / William Salter,1980
Just The Way You Are,Billy Joel,1977
"Just You, Just Me",Jesse Greer / Raymond Klages,1929
Key To The Highway,B. B. Broonzy / C. Segar,1940
Killer Joe,Benny Golson,1977
Killing Me Softly with His Song,Charles Fox / Norman Gimbel /Lori Lieberman,1971
Klactoveesedstene,Charlie Parker,1947
Knock Me A Kiss,Mike Jackson / Andy Razaf,1942
L-O-V-E,Bert Kaempfert / Milt Gabler,1964
La Jouet,Vladimir Cosma,1976
La Vie En Rose,Édith Piaf / Louiguy / Mack David,1945
Lady Be Good,George Gershwin / Ira Gershwin,1924
Lady Bird (Miles Davis version),Tadd Dameron,1939
Lady Bird (original version),Tadd Dameron,1939
Lady Bird,Tadd Dameron / Stanley Cornfield,1939
Last Waltz,Les Reed / Barry Mason,1967
Laura,David Raksin,1944
Lazy River,Hoagy Carmichael / Sidney Arodin,1930
Let It Snow,Jule Styne / Sammy Cahn,1945
Let’s Call The Whole Thing Off,George Gershwin / Ira Gershwin,1937
Let’s Face The Music And Dance,Irving Berlin,1936
Let’s Fall In Love,Harold Arlen / Ted Koehler,1933
Libertango,Astor Piazzolla,1974
Light Blue,Thelonious Monk,1958
Like Someone in Love,Jimmy Van Heusen / Johnny Burke,1944
Li’l Darlin’,Neal Hefti / Jon Hendricks,1957
Limbo Jazz,Duke Ellington / Coleman Hawkins,1962
Limehouse Blues,Philip Braham / Douglas Furber,1922
Line For Lyons,Gerry Mulligan,1964
Linger Awhile,L. Owens / V. Rose,1923
Little Brown Jug,Joseph Eastburn Winner / Glenn Miller,1869
Little B’s Poem,,
Lonely Woman,Ornette Coleman / Margo Guryan,1959
Lotus Blossom (Kenny Dorham),Kenny Dorham,1959
Lotus Blossom,Billy Strayhorn,1947
Love For Sale,Cole Porter,1930
Love Is Here to Stay,George Gershwin / Ira Gershwin,1938
Love Is Just Around the Corner,Lewis E. Gensler / Leo Robin,1934
Love me or leave me,Donaldson / Gus Kahn,1928
Love Theme from The Godfather,Nino Rota / Larry Kusik / Gianni Boncompagni,1972
Love Walked In,George Gershwin / Ira Gershwin,1930
"Lover, Come Back To Me",Sigmund Romberg / Oscar Hammerstein II,1928
Lover Man,Jimmy Davis / Roger (“Ram”) Ramirez / James Sherman,1944
Lover,Richard Rodgers / Lorenz Hart,1932
Lullaby of birdland,George Shearing / George David Weiss,1952
Lullaby of Broadway,Harry Warren / Al Dubin,1935
Lulu’s Back In Town,Al Dubin / Harry Warren,1935
Lush Life,Billy Strayhorn,1936
Mack the knife,Kurt Weill / Bertolt Brecht,1928
Makin` Whoopee,Gus Khan / Walter Donaldson,1928
Mame,Jerry Herman,1955
Manhã de Carnaval,Luiz Bonfá / Antônio Maria,1959
Margie,Con Conrad / J. Russel Robinson / Benny Davis,1920
Meditation,Antônio Carlos Jobim / Newton Mendonça,1962
Mein Herr from Cabaret,Fred Ebb / John Kander,1972
Memories of you,Eubie Blake / Andy Razaf,1930
"Mercy, Mercy, Mercy",J. Zawinul,1966
Ми-ми-мишки,,
Midnight Sun,Lionel Hampton / Sonny Burke / Johnny Mercer,1947
Minor Mood,Yusef Lateef,1957
Minor Swing,Django Reinhardt / Stéphane Grappelli,1937
Minority,Gigi Gryce,1953
Miss Otis Regrets,Cole Porter,1934
Mississippi Delta Blues,Jimmie Rodgers / Jack Neville,1933
Mister Sandman,Pat Ballard,1954
Misty Roses,Tim Hardin,1966
Misty,Erroll Garner / Johnny Burke,1954
Molten Glass,Joe Farrell,
Monk’s Dream,Thelonious Monk,1948
Mood Indigo,,
Moon River,Henry Mancini / Johnny Mercer,1961
Moonglow,Will Hudson / Irving Mills / Eddie DeLange,1933
Moonlight in Vermont,John Blackburn / Karl Suessdorf,1944
Moonlight Serenade,Glenn Miller / Mitchell Parish,1939
More Than You Know,Vincent Youmans / Billy Rose / Edward Eliscu,1929
Muskrat Ramble,Ray Gilbert / Edward “Kid” Ory,1926
Mustang,Gennadiy Bondarev,1967
My Blue Heaven,Walter Donaldson / George A. Whiting,1927
My Cherie Amor,Stevie Wonder,1969
My favorite things,Richard Rodgers / Oscar Hammerstein II,1959
My Funny Valentine,Richard Rodgers / Lorenz Hart,1937
My Heart Stood Still,Richard Rodgers / Lorenz Hart,1927
My Ideal,Richard A. Whiting / Newell Chase /Leo Robin,1930
My Little Suede Shoes,Charlie Parker,1951
